Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
34555.17,48241.14,32090.22,68024.58,55534.34,70906.35,57369.5,57882.88
34548.46,48244.09,32081.37,68041.75,55543.46,70907.69,57380.77,57881.27
34531.03,48236.85,32068.49,68042.55,55572.42,70904.2,57412.69,57879.66
34530.22,48229.61,32073.32,68027.8,55580.47,70902.05,57421.0,57880.2
34548.46,48233.63,32091.29,68016.8,55557.94,70905.81,57396.06,57883.42
34562.14,48243.82,32096.39,68025.92,55537.55,70910.91,57371.92,57884.22
34553.83,48247.58,32081.64,68045.77,55549.89,70914.39,57382.91,57881.54
34536.93,48241.14,32069.83,68048.18,55580.74,70911.98,57414.3,57878.86
34535.59,48231.22,32076.0,68033.16,55586.91,70907.69,57422.34,57881.81
34549.54,48236.05,32088.07,68021.09,55560.35,70905.81,57396.06,57885.83
34561.87,48247.31,32092.36,68028.6,55537.55,70909.83,57371.38,57886.9
34554.36,48250.53,32081.1,68046.04,55548.82,70913.05,57383.72,57887.97
34538.27,48242.48,32070.91,68046.84,55575.64,70909.03,57415.1,57887.71
34536.66,48233.09,32075.73,68029.41,55582.88,70905.27,57423.68,57888.24
34552.22,48237.12,32088.88,68019.22,55561.43,70907.69,57399.54,57892.27
34563.48,48247.31,32092.9,68031.29,55540.77,70913.32,57374.06,57892.8
34555.17,48251.6,32082.44,68047.65,55550.7,70913.86,57385.33,57889.85
34534.52,48242.75,32066.62,68049.26,55578.59,70910.37,57416.98,57889.58
34530.49,48234.44,32069.3,68034.77,55585.57,70906.61,57426.1,57891.46
34545.51,48236.58,32082.98,68021.63,55560.09,70906.35,57399.81,57893.34
34557.85,48246.77,32085.66,68032.36,55539.7,70911.98,57375.4,57894.41
34549.8,48251.07,32073.05,68053.28,55553.11,70917.07,57386.4,57893.88
34531.83,48244.36,32059.91,68055.69,55581.54,70915.2,57415.37,57890.93
34529.69,48237.65,32062.86,68040.67,55589.59,70913.32,57423.68,57891.46
34547.66,48241.68,32078.15,68031.82,55568.4,70920.02,57398.2,57893.88
34561.34,48251.6,32085.93,68041.75,55546.67,70925.39,57371.92,57894.41
34555.17,48255.09,32078.69,68057.84,55553.38,70926.19,57381.31,57892.27
34537.2,48246.77,32066.35,68059.45,55581.01,70922.44,57413.49,57890.39
34535.05,48239.26,32069.3,68043.09,55587.98,70918.95,57424.49,57887.71
34552.76,48240.6,32084.32,68028.6,55559.55,70916.27,57398.2,57884.49
34566.97,48249.72,32090.22,68036.92,55536.21,70920.02,57373.26,57888.51
34561.34,48252.41,32079.76,68053.28,55543.46,70922.17,57384.26,57890.39
34542.83,48245.7,32065.54,68054.89,55570.81,70918.42,57416.17,57890.39
34540.42,48238.46,32068.76,68040.4,55579.13,70915.73,57425.83,57892.27
34557.31,48240.87,32083.51,68030.21,55557.67,70920.02,57400.89,57894.41
